stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
200115,"FR CAPODANNO BL/SAND LA",,  40.590435, -74.066437,,,0,
200119,"OLYMPIA BL/BIONIA AV",,  40.592464, -74.072624,,,0,
200120,"OLYMPIA BL/KENSINGTON ST",,  40.591373, -74.074577,,,0,
200121,"OLYMPIA BL/NORWAY AV",,  40.590603, -74.076607,,,0,
200122,"NORWAY AV/FOCH AV",,  40.592285, -74.077736,,,0,
200123,"NORWAY AV/MC CLEAN AV",,  40.593735, -74.078667,,,0,
200124,"MC CLEAN AV/LAMPORT BL",,  40.594345, -74.077492,,,0,
200125,"MC CLEAN AV/KENSINGTON AV",,  40.594883, -74.075882,,,0,
200126,"MC CLEAN AV/BIONIA AV",,  40.595432, -74.074188,,,0,
200127,"MC CLEAN AV/LINWOOD AV",,  40.595943, -74.072746,,,0,
200128,"MC CLEAN AV/SAND LA",,  40.596786, -74.070099,,,0,
200129,"MC CLEAN AV/MILLS AV",,  40.597210, -74.068748,,,0,
200131,"MC CLEAN AV/OCEAN AV",,  40.598526, -74.064812,,,0,
200132,"LILY POND AV/MC CLEAN AV",,  40.599155, -74.063835,,,0,
200135,"SCHOOL RD/TOMPKINS AV",,  40.605125, -74.065071,,,0,
200136,"SCHOOL RD/D TORRECELLI ST",,  40.606007, -74.063171,,,0,
200137,"BAY ST/SEA GATE RD",,  40.607704, -74.061256,,,0,
200139,"BAY ST/NEW LA",,  40.611504, -74.064133,,,0,
200140,"BAY ST/HYLAN BL",,  40.613998, -74.065903,,,0,
200142,"BAY ST/LYNHURST AV",,  40.618443, -74.069244,,,0,
200144,"BAY ST/TOWNSEND AV",,  40.621414, -74.071617,,,0,
200145,"BAY ST/VANDERBILT AV",,  40.622860, -74.072746,,,0,
200146,"BAY ST/THOMPSON ST",,  40.625908, -74.075119,,,0,
200147,"BAY ST/WATER ST",,  40.627083, -74.075821,,,0,
200148,"BAY ST/PROSPECT ST",,  40.628479, -74.076385,,,0,
200149,"BAY ST/WAVE ST",,  40.629791, -74.076622,,,0,
200151,"BAY ST/GRANT ST",,  40.633278, -74.075134,,,0,
200152,"BAY ST/HANNAH ST",,  40.635887, -74.075638,,,0,
200153,"BAY ST/VICTORY BL",,  40.637520, -74.075958,,,0,
200154,"BAY ST/SLOSSON TE",,  40.639500, -74.075424,,,0,
200157,"MIDLAND AV/RICHMOND RD",,  40.581974, -74.109993,,,0,
200159,"MIDLAND AV/CLAWSON ST",,  40.578766, -74.103996,,,0,
200160,"MIDLAND AV/EDISON ST",,  40.579601, -74.105545,,,0,
200161,"MIDLAND AV/HYLAN BL",,  40.577698, -74.101982,,,0,
200163,"FR CAPODANNO BL/DOTY AV",,  40.592377, -74.063980,,,0,
200165,"FR CAPODANNO BL/OCEAN AV",,  40.595047, -74.062805,,,0,
200166,"FR CAPODANNO BL/OCEAN AV",,  40.596958, -74.062027,,,0,
200170,"LILY POND AV/MC CLEAN AV",,  40.598595, -74.063667,,,0,
200171,"FR CAPODANNO BL/ROBIN RD",,  40.595703, -74.062607,,,0,
200173,"FR CAPODANNO BL/DOTY AV",,  40.592148, -74.064667,,,0,
200176,"BAY ST/NICK LAPORTE PL",,  40.641872, -74.075699,,,0,
200177,"BAY ST/CENTRAL AV",,  40.638756, -74.075867,,,0,
200178,"BAY ST/VICTORY BL",,  40.637520, -74.076202,,,0,
200180,"BAY ST/GRANT ST",,  40.632904, -74.075584,,,0,
200181,"BAY ST/WILLIAM ST",,  40.630615, -74.076714,,,0,
200183,"BAY ST/PROSPECT ST",,  40.628616, -74.076553,,,0,
200184,"BAY ST/WATER ST",,  40.626766, -74.075790,,,0,
200185,"BAY ST/BROAD ST",,  40.625755, -74.075180,,,0,
200187,"BAY ST/VANDERBILT AV",,  40.622173, -74.072411,,,0,
200188,"BAY ST/TOWNSEND AV",,  40.621197, -74.071640,,,0,
200189,"BAY ST/EDGEWATER ST",,  40.620155, -74.070847,,,0,
200190,"BAY ST/WILLOW AV",,  40.618717, -74.069633,,,0,
200191,"BAY ST/CHESTNUT AV",,  40.617252, -74.068565,,,0,
200192,"BAY ST/ST MARYS AV",,  40.616020, -74.067657,,,0,
200193,"BAY ST/HYLAN BL",,  40.613789, -74.066010,,,0,
200194,"BAY ST/ST JOHNS AV",,  40.611923, -74.064629,,,0,
200195,"BAY ST/FINGERBOARD RD",,  40.609066, -74.062523,,,0,
200196,"BAY ST/LYMAN AV",,  40.607471, -74.061348,,,0,
200197,"SCHOOL RD/DENNIS TORRICELLI ST",,  40.605839, -74.063965,,,0,
200198,"SCHOOL RD/TOMPKINS AV",,  40.604935, -74.065605,,,0,
200200,"LILY POND AV/MAJOR AV",,  40.600266, -74.064789,,,0,
200201,"MC CLEAN AV/LILY POND AV",,  40.598843, -74.064217,,,0,
200202,"CLOVE RD/CLOVE LAKE PARK",,  40.619282, -74.106506,,,0,
200203,"MC CLEAN AV/MILLS AV",,  40.597256, -74.069031,,,0,
200204,"SAND LA/McCLEAN AV",,  40.596809, -74.070572,,,0,
200206,"MC CLEAN AV/HICKORY AV",,  40.595585, -74.074127,,,0,
200207,"MC CLEAN AV/JEROME AV",,  40.595039, -74.075783,,,0,
200210,"NORWAY AV/OLYMPIA BL",,  40.590828, -74.076965,,,0,
200211,"OLYMPIA BL/MCLAUGHLIN ST",,  40.591595, -74.073883,,,0,
200218,"FR CAPODANNO BL/BURGHER AV",,  40.583702, -74.073280,,,0,
200219,"FR CAPODANNO BL/ATLANTIC AV",,  40.583065, -74.073944,,,0,
200220,"FR CAPODANNO BL/DELAWARE AV",,  40.582317, -74.074707,,,0,
200223,"FR CAPADONNO BL/SEAVIEW AV",,  40.579468, -74.077705,,,0,
200224,"FR CAPODANNO BL/BUEL AV",,  40.578030, -74.079247,,,0,
200225,"FR CAPODANNO BL/NAUGHTON AV",,  40.576996, -74.081032,,,0,
200226,"FR CAPODANNO BL/SLATER BL",,  40.576309, -74.082329,,,0,
200228,"FR CAPODANNO BL/JEFFERSON AV",,  40.574017, -74.086266,,,0,
200233,"MIDLAND AV/FREEBORN ST",,  40.572987, -74.094215,,,0,
200234,"MIDLAND AV/MORELAND ST",,  40.574688, -74.097290,,,0,
200235,"MIDLAND AV/MASON AV",,  40.575481, -74.098602,,,0,
200236,"MIDLAND AV/BOUNDARY AV",,  40.577042, -74.100761,,,0,
200237,"HYLAN BL/MIDLAND AV",,  40.577740, -74.102676,,,0,
200238,"LINCOLN AV/GRANT PL",,  40.577099, -74.104736,,,0,
200240,"LINCOLN AV/S RAILROAD AV",,  40.579556, -74.108833,,,0,
200242,"LINCOLN AV/RICHMOND RD",,  40.581245, -74.111992,,,0,
200244,"GRANDVIEW AV/BRABANT ST",,  40.632008, -74.165169,,,0,
200245,"BRABANT ST/LOCKMAN AV",,  40.631561, -74.161324,,,0,
200246,"BRABANT ST/UNION AV",,  40.631329, -74.158333,,,0,
200247,"WALLOON ST/MAPLE PY",,  40.632412, -74.156601,,,0,
200248,"DE RUYTER PL/VAN PELT AV",,  40.631207, -74.155495,,,0,
200249,"WALKER ST/VAN NAME AV",,  40.631863, -74.153831,,,0,
200250,"WALKER ST/SIMONSON AV",,  40.631687, -74.151794,,,0,
200251,"WALKER ST/MORNINGSTAR RD",,  40.631088, -74.147141,,,0,
200252,"MORNINGSTAR RD/KALVER PL",,  40.632599, -74.146286,,,0,
200254,"INNIS ST/JOHN ST",,  40.633949, -74.143829,,,0,
200255,"INNIS ST/NICHOLAS AV",,  40.633423, -74.141754,,,0,
