,stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0,400001,4 AV/E 9 ST,,40.73064,-73.99044,,,0,
1,400002,4 AV/E 12 ST,,40.732609000000004,-73.98996,,,0,
2,400003,4 AV/E 13 ST,,40.733936,-73.989723,,,0,
3,400007,PARK AV S/E 21 ST,,40.738976,-73.987053,,,0,
4,400026,MADISON AV/E 63 ST,,40.766273,-73.96933,,,0,
5,400027,MADISON AV/E 65 ST,,40.767582,-73.968376,,,0,
6,400028,MADISON AV/E 67 ST,,40.768814,-73.967484,,,0,
7,400029,MADISON AV/E 69 ST,,40.770077,-73.96656,,,0,
8,400030,MADISON AV/E 72 ST,,40.772148,-73.96505,,,0,
9,400032,MADISON AV/E 77 ST,,40.775321999999996,-73.962738,,,0,
10,400033,MADISON AV/E 79 ST,,40.776695000000004,-73.961731,,,0,
11,400034,MADISON AV/E 83 ST,,40.778793,-73.960205,,,0,
12,400036,MADISON AV/E 86 ST,,40.781155,-73.958481,,,0,
13,400037,MADISON AV/E 89 ST,,40.782677,-73.957375,,,0,
14,400038,MADISON AV/E 91 ST,,40.784359,-73.95613900000001,,,0,
15,400039,MADISON AV/E 93 ST,,40.785637,-73.955208,,,0,
16,400041,MADISON AV/E 98 ST,,40.788414,-73.95317800000001,,,0,
17,400042,MADISON AV/E 101 ST,,40.790302000000004,-73.951797,,,0,
18,400043,MADISON AV/E 102 ST,,40.79137,-73.95101899999999,,,0,
19,400044,MADISON AV/E 104 ST,,40.792159999999996,-73.950447,,,0,
20,400045,MADISON AV/E 106 ST,,40.793434000000005,-73.94950899999999,,,0,
21,400046,MADISON AV/E 107 ST,,40.794552,-73.94869200000001,,,0,
22,400047,MADISON AV/E 109 ST,,40.795815000000005,-73.947777,,,0,
23,400048,MADISON AV/E 111 ST,,40.797024,-73.946892,,,0,
24,400050,MADISON AV/E 115 ST,,40.799541,-73.945053,,,0,
25,400051,MADISON AV/E 118 ST,,40.801505999999996,-73.943619,,,0,
26,400053,MADISON AV/E 123 ST,,40.804778999999996,-73.94133000000001,,,0,
27,400054,MADISON AV/E 125 ST,,40.806015,-73.94034599999999,,,0,
28,400055,MADISON AV/E 127 ST,,40.807247,-73.939461,,,0,
29,400056,MADISON AV/E 129 ST,,40.80851,-73.938538,,,0,
30,400057,MADISON AV/E 132 ST,,40.810429,-73.937111,,,0,
31,400059,5 AV/E 135 ST,,40.813126000000004,-73.937225,,,0,
32,400060,5 AV/E 138 ST,,40.814465000000006,-73.936249,,,0,
33,400061,W 139 ST/5 AV,,40.815616999999996,-73.936279,,,0,
34,400062,MALCOLM X BL/W 139 ST,,40.81694,-73.938614,,,0,
35,400065,MALCOLM X BL/W 145 ST,,40.820679,-73.935875,,,0,
36,400066,W 147 ST/MALCOLM X BL,,40.821964,-73.93573,,,0,
37,400067,W 147 ST/ADAM C POWELL BL,,40.822865,-73.937859,,,0,
38,400069,GREENWICH ST/MORRIS ST,,40.706024,-74.01430500000001,,,0,
39,400070,TRINITY PL/RECTOR ST,,40.708008,-74.012711,,,0,
40,400071,CHURCH ST/LIBERTY ST,,40.710014,-74.01136,,,0,
41,400087,W 146 ST/MALCOLM X BL,,40.821152000000005,-73.935974,,,0,
42,400088,MALCOLM X BL/W 145 ST,,40.820152,-73.936607,,,0,
43,400089,MALCOLM X BL/W 142 ST,,40.818249,-73.938004,,,0,
44,400091,W 139 ST/MALCOLM X BL,,40.81638,-73.938744,,,0,
